iter	Passed	Remaining
220	36791	129684
221	36949	129489
222	37102	129276
223	37277	129141
224	37436	128948
225	37599	128768
226	37763	128594
227	37957	128524
228	38161	128484
229	38341	128359
230	38517	128226
231	38700	128112
232	38873	127965
233	39043	127807
234	39205	127627
235	39357	127410
236	39518	127226
237	39678	127038
238	39858	126913
239	40018	126724
240	40170	126510
241	40329	126322
242	40491	126141
243	40657	125971
244	40829	125821
245	40999	125664
246	41152	125455
247	41324	125306
248	41490	125136
249	41667	125003
250	41833	124832
251	42006	124686
252	42165	124495
253	42338	124349
254	42506	124184
255	42685	124053
256	42852	123888
257	43018	123720
258	43186	123557
259	43367	123429
260	43548	123304
261	43707	123115
262	43878	122961
263	44045	122793
264	44192	122572
265	44361	122412
266	44526	122240
267	44716	122136
268	44910	122041
269	45093	121920
270	45281	121809
271	45448	121642
272	45629	121511
273	45805	121367
274	46001	121275
275	46156	121076
276	46313	120883
277	46476	120704
278	46656	120571
279	46859	120494
280	47035	120351
281	47205	120189
282	47384	120050
283	47549	119878
284	47751	119796
285	47948	119703
286	48135	119583
287	48325	119470
288	48485	119285
289	48646	119100
290	48825	118960
291	48996	118799
292	49177	118664
293	49394	118613
294	49601	118538
295	49789	118419
296	49978	118298
297	50147	118133
298	50309	117949
299	50473	117772
300	50651	117624
301	50814	117444
302	50980	117270
303	51163	117137
304	51342	116993
305	51513	116831
306	51677	116654
307	51844	116481
308	52020	116329
309	52201	116191
310	52371	116024
311	52540	115859
312	52714	115701
313	52912	115598
314	53066	115399
315	53219	115197
316	53379	115009
317	53553	114854
318	53722	114686
319	53917	114575
320	54110	114457
321	54327	114391
322	54518	114269
323	54686	114097
324	54856	113931
325	55043	113802
326	55195	113597
327	55376	113453
328	55533	113261
329	55693	113073
330	55869	112920
331	56051	112777
332	56228	112626
333	56423	112508
334	56600	112355
335	56783	112214
336	56961	112062
337	57126	111886
338	57297	111721
339	57467	111555
340	57618	111350
341	57798	111202
342	57978	111054
343	58145	110882
344	58302	110691
345	58481	110540
346	58654	110378
347	58815	110194
348	58983	110024
349	59152	109855
350	59325	109693
351	59501	109536
352	59662	109352
353	59828	109177
354	59991	108999
355	60141	108795
356	60297	108603
357	60467	108435
358	60632	108260
359	60798	108085
360	60967	107918
361	61137	107750
362	61294	107560
363	61470	107405
364	61627	107215
365	61798	107050
366	61960	106869
367	62122	106689
368	62274	106491
369	62431	106301
370	62596	106126
371	62766	105960
372	62939	105799
373	63098	105614
374	63262	105437
375	63421	105253
376	63597	105096
377	63770	104934
378	63916	104729
379	64074	104542
380	64226	104347
381	64411	104204
382	64590	104053
383	64758	103882
384	64923	103708
385	65080	103522
386	65247	103350
387	65426	103199
388	65600	103038
389	65810	102934
390	65997	102793
391	66162	102619
392	66332	102453
393	66491	102268
394	66649	102083
395	66815	101910
396	67000	101766
397	67154	101574
398	67312	101390
399	67471	101206
400	67621	101010
401	67793	100846
402	67944	100652
403	68099	100463
404	68263	100288
405	68423	100107
406	68582	99924
407	68747	99750
408	68932	99606
409	69114	99457
410	69273	99274
411	69442	99107
412	69610	98937
413	69767	98752
414	69934	98582
415	70097	98405
416	70261	98231
417	70443	98081
418	70595	97889
419	70740	97689
420	70897	97505
421	71080	97357
422	71231	97164
423	71395	96989
424	71568	96827
425	71733	96655
426	71916	96506
427	72084	96337
428	72265	96185
429	72422	96002
430	72576	95814
431	72730	95626
432	72896	95456
433	73066	95288
434	73225	95108
435	73387	94932
436	73546	94752
437	73713	94582
438	73877	94408
439	74029	94219
440	74185	94036
441	74343	93854
442	74492	93662
443	74648	93478
444	74820	93315
445	74976	93132
446	75135	92952
447	75290	92769
448	75470	92615
449	75638	92447
450	75807	92280
451	75986	92124
452	76166	91971
453	76337	91806
454	76516	91651
455	76687	91486
456	76869	91335
457	77036	91165
458	77207	91000
459	77385	90844
460	77558	90680
461	77732	90519
462	77897	90347
463	78083	90199
464	78248	90028
465	78388	89826
466	78586	89693
467	78768	89539
468	78955	89392
469	79130	89231
470	79293	89058
471	79470	88899
472	79633	88725
473	79804	88559
474	79966	88383
475	80120	88200
476	80281	88023
477	80443	87848
478	80610	87678
479	80789	87522
480	80956	87352
481	81125	87184
482	81310	87034
483	81485	86873
484	81644	86694
485	81829	86544
486	82004	86382
487	82190	86232
488	82369	86075
489	82533	85902
490	82717	85750
491	82894	85590
492	83064	85423
493	83224	85246
494	83385	85070
495	83555	84902
496	83736	84747
497	83913	84587
498	84072	84409
499	84233	84233
500	84393	84057
501	84556	83882
502	84734	83723
503	84908	83561
504	85067	83383
505	85248	83226
506	85406	83047
507	85563	82868
508	85749	82717
509	85919	82549
510	86101	82394
511	86291	82246
512	86462	82080
513	86624	81905
514	86816	81758
515	86987	81592
516	87167	81434
517	87339	81269
518	87499	81093
519	87659	80916
520	87823	80744
521	88004	80586
522	88159	80405
523	88314	80225
524	88485	80058
525	88641	79878
526	88822	79721
527	88993	79554
528	89176	79399
529	89337	79223
530	89512	79061
531	89670	78882
532	89843	78718
533	90000	78539
534	90180	78381
535	90339	78203
536	90505	78033
537	90652	77846
538	90825	77681
539	90990	77510
540	91190	77368
541	91375	77213
542	91526	77030
543	91699	76865
544	91865	76695
545	92031	76524
546	92189	76347
547	92348	76170
548	92517	76002
549	92670	75821
550	92824	75641
551	92992	75472
552	93148	75293
553	93340	75143
554	93495	74965
555	93652	74787
556	93826	74623
557	93988	74449
558	94152	74277
559	94309	74100
560	94470	73926
561	94633	73753
562	94815	73595
563	94974	73420
564	95138	73248
565	95292	73069
566	95453	72894
567	95625	72729
568	95800	72565
569	95961	72391
570	96123	72218
571	96293	72051
572	96475	71893
573	96631	71716
574	96805	71552
575	96959	71372
576	97129	71205
577	97288	71030
578	97451	70858
579	97627	70696
580	97801	70531
581	97965	70360
582	98131	70190
583	98304	70025
584	98485	69865
585	98656	69699
586	98822	69529
587	98999	69367
588	99174	69203
589	99336	69030
590	99512	68867
591	99690	68705
592	99853	68533
593	100027	68369
594	100185	68193
595	100361	68029
596	100521	67855
597	100682	67683
598	100861	67521
599	101035	67356
600	101213	67195
601	101390	67031
602	101557	66862
603	101721	66691
604	101892	66524
605	102060	66355
606	102254	66204
607	102424	66036
608	102581	65860
609	102743	65688
610	102926	65528
611	103089	65357
612	103253	65186
613	103430	65023
614	103604	64857
615	103777	64692
616	103943	64522
617	104115	64356
618	104286	64189
619	104460	64024
620	104617	63848
621	104776	63674
622	104939	63502
623	105112	63336
624	105272	63163
625	105445	62997
626	105599	62820
627	105757	62646
628	105915	62471
629	106089	62306
630	106261	62140
631	106423	61967
632	106583	61794
633	106745	61622
634	106905	61449
635	107059	61273
636	107227	61104
637	107386	60931
638	107561	60766
639	107734	60600
640	107909	60435
641	108067	60261
642	108223	60086
643	108386	59915
644	108550	59745
645	108714	59574
646	108877	59403
647	109038	59230
648	109194	59056
649	109367	58890
650	109521	58714
651	109686	58544
652	109858	58378
653	110030	58212
654	110192	58040
655	110358	57870
656	110536	57707
657	110722	57548
658	110887	57378
659	111059	57212
660	111220	57040
661	111404	56880
662	111573	56712
663	111753	56549
664	111903	56372
665	112056	56196
666	112237	56034
667	112398	55862
668	112555	55688
669	112755	55536
670	112916	55364
671	113080	55194
672	113239	55021
673	113394	54846
674	113558	54676
675	113732	54510
676	113897	54341
677	114074	54176
678	114259	54016
679	114431	53850
680	114612	53687
681	114789	53523
682	114949	53351
683	115137	53191
684	115308	53025
685	115478	52857
686	115644	52688
687	115803	52515
688	115979	52350
689	116148	52182
690	116324	52017
691	116494	51850
692	116654	51678
693	116829	51512
694	117011	51350
695	117158	51172
696	117337	51008
697	117510	50842
698	117688	50678
699	117856	50509
700	118022	50340
701	118191	50172
702	118343	49997
703	118499	49823
704	118659	49651
705	118827	49483
706	119010	49320
707	119184	49155
708	119354	48987
709	119518	48817
710	119696	48652
711	119863	48484
712	120023	48312
713	120180	48139
714	120345	47969
715	120518	47803
716	120694	47638
717	120854	47466
718	121009	47292
719	121177	47124
720	121329	46950
721	121491	46779
722	121674	46616
723	121850	46451
724	122016	46282
725	122189	46115
726	122360	45948
727	122531	45780
728	122718	45619
729	122879	45448
730	123040	45277
731	123222	45114
732	123402	44950
733	123579	44784
734	123762	44621
735	123930	44453
736	124097	44284
737	124279	44120
738	124428	43945
739	124610	43781
740	124776	43612
741	124925	43437
742	125101	43272
743	125268	43103
744	125425	42930
745	125595	42762
746	125771	42597
747	125939	42428
748	126096	42256
749	126253	42084
750	126418	41915
751	126609	41754
752	126778	41585
753	126941	41415
754	127106	41246
755	127278	41079
756	127435	40907
757	127608	40740
758	127767	40569
759	127923	40396
760	128073	40222
761	128230	40050
762	128431	39892
763	128622	39731
764	128797	39565
765	128963	39396
766	129136	39229
767	129319	39065
768	129500	38900
769	129693	38739
770	129881	38576
771	130074	38415
772	130267	38254
773	130439	38086
774	130624	37923
775	130790	37753
776	130968	37588
777	131133	37418
778	131299	37249
779	131461	37078
780	131637	36912
781	131820	36747
782	131993	36580
783	132168	36413
784	132337	36245
785	132502	36075
786	132662	35904
787	132835	35737
788	133027	35575
789	133219	35412
790	133390	35244
791	133546	35072
792	133721	34905
793	133909	34742
794	134074	34572
795	134253	34406
796	134439	34242
797	134615	34075
798	134838	33920
799	135034	33758
800	135216	33593
801	135382	33423
802	135544	33253
803	135717	33085
804	135882	32915
805	136038	32743
806	136191	32571
807	136364	32403
808	136542	32236
809	136739	32074
810	136905	31905
811	137081	31738
812	137261	31571
813	137449	31407
814	137617	31238
815	137792	31070
816	137977	30905
817	138152	30738
818	138325	30570
819	138480	30398
820	138655	30230
821	138821	30061
822	138979	29889
823	139164	29724
824	139317	29552
825	139483	29382
826	139654	29214
827	139813	29043
828	139975	28873
829	140147	28704
830	140343	28541
831	140494	28369
832	140656	28198
833	140817	28028
834	140980	27858
835	141157	27691
836	141314	27520
837	141493	27353
838	141652	27182
839	141814	27012
840	141974	26841
841	142135	26671
842	142293	26500
843	142471	26333
844	142660	26168
845	142826	25999
846	142984	25828
847	143142	25657
848	143306	25488
849	143462	25316
850	143629	25147
851	143802	24979
852	143958	24808
853	144119	24638
854	144283	24469
855	144444	24298
856	144623	24132
857	144802	23965
858	144978	23797
859	145125	23625
860	145291	23455
861	145451	23285
862	145615	23116
863	145785	22947
864	145961	22780
865	146133	22611
866	146314	22445
867	146481	22275
868	146645	22106
869	146816	21938
870	146996	21771
871	147167	21602
872	147327	21432
873	147499	21264
874	147670	21095
875	147835	20926
876	148006	20758
877	148164	20587
878	148328	20418
879	148501	20250
880	148663	20080
881	148837	19912
882	149002	19743
883	149156	19572
884	149339	19405
885	149504	19236
886	149672	19067
887	149846	18899
888	150017	18731
889	150181	18561
890	150338	18391
891	150501	18222
892	150665	18052
893	150829	17883
894	151001	17715
895	151182	17548
896	151351	17379
897	151504	17208
898	151672	17039
899	151855	16872
900	152028	16704
901	152202	16536
902	152368	16367
903	152521	16196
904	152696	16028
905	152866	15860
906	153037	15691
907	153194	15521
908	153364	15353
909	153532	15184
910	153694	15015
911	153872	14847
912	154029	14677
913	154198	14508
914	154382	14341
915	154561	14173
916	154728	14004
917	154894	13835
918	155063	13667
919	155215	13497
920	155367	13326
921	155531	13157
922	155711	12990
923	155865	12820
924	156029	12651
925	156183	12481
926	156329	12310
927	156489	12141
928	156675	11974
929	156850	11805
930	157003	11636
931	157175	11467
932	157356	11299
933	157513	11130
934	157673	10961
935	157843	10792
936	158018	10624
937	158192	10456
938	158351	10286
939	158508	10117
940	158668	9948
941	158830	9779
942	158996	9610
943	159160	9441
944	159325	9272
945	159500	9104
946	159662	8935
947	159834	8767
948	159988	8597
949	160145	8428
950	160319	8260
951	160478	8091
952	160645	7922
953	160801	7753
954	160969	7584
955	161138	7416
956	161302	7247
957	161490	7079
958	161655	6911
959	161823	6742
960	161981	6573
961	162136	6404
962	162302	6235
963	162481	6067
964	162657	5899
965	162837	5731
966	163002	5562
967	163166	5393
968	163332	5225
969	163486	5056
970	163661	4887
971	163818	4719
972	163988	4550
973	164166	4382
974	164330	4213
975	164503	4045
976	164694	3877
977	164875	3708
978	165049	3540
979	165225	3371
980	165384	3203
981	165544	3034
982	165754	2866
983	165909	2697
984	166096	2529
985	166255	2360
986	166418	2191
987	166600	2023
988	166772	1854
989	166941	1686
990	167115	1517
991	167284	1349
992	167445	1180
993	167621	1011
994	167798	843
995	167958	674
996	168110	505
997	168283	337
998	168437	168
999	168611	0
