Flag Retry,Frame Number,Frame Type,Subtype
Frame is not being retransmitted,94,Data frame,0
Frame is not being retransmitted,95,Management frame,8
Frame is not being retransmitted,96,Management frame,5
Frame is not being retransmitted,97,Data frame,0
Frame is not being retransmitted,98,Management frame,8
Frame is not being retransmitted,99,Management frame,5
Frame is not being retransmitted,100,Management frame,4
Frame is not being retransmitted,101,Management frame,4
Frame is not being retransmitted,102,Management frame,5
Frame is not being retransmitted,103,Management frame,4
Frame is not being retransmitted,104,Management frame,4
Frame is being retransmitted,105,Management frame,5
Frame is not being retransmitted,106,Management frame,4
Frame is not being retransmitted,107,Management frame,4
Frame is not being retransmitted,108,Management frame,4
Frame is not being retransmitted,109,Management frame,4
Frame is not being retransmitted,110,Management frame,4
Frame is not being retransmitted,111,Management frame,4
Frame is not being retransmitted,112,Management frame,4
Frame is not being retransmitted,113,Management frame,4
Frame is not being retransmitted,114,Management frame,4
Frame is not being retransmitted,115,Management frame,4
Frame is not being retransmitted,116,Management frame,5
Frame is not being retransmitted,117,Management frame,8
Frame is not being retransmitted,118,Management frame,8
Frame is not being retransmitted,119,Management frame,8
Frame is not being retransmitted,120,Management frame,8
Frame is not being retransmitted,121,Management frame,8
Frame is not being retransmitted,122,Data frame,0
Frame is not being retransmitted,123,Management frame,8
Frame is not being retransmitted,124,Data frame,0
Frame is not being retransmitted,125,Management frame,5
Frame is not being retransmitted,126,Management frame,8
Frame is not being retransmitted,127,Management frame,5
Frame is not being retransmitted,128,Data frame,0
Frame is not being retransmitted,129,Management frame,8
Frame is not being retransmitted,130,Management frame,4
Frame is not being retransmitted,131,Management frame,5
Frame is not being retransmitted,132,Data frame,0
Frame is not being retransmitted,133,Management frame,11
Frame is not being retransmitted,134,Control frame,13
Frame is not being retransmitted,135,Management frame,11
Frame is not being retransmitted,136,Management frame,0
Frame is not being retransmitted,137,Control frame,13
Frame is not being retransmitted,138,Management frame,1
Frame is not being retransmitted,139,Management frame,13
Frame is not being retransmitted,140,Control frame,13
Frame is not being retransmitted,141,Data frame,8
Frame is not being retransmitted,142,Management frame,13
Frame is not being retransmitted,143,Control frame,13
Frame is not being retransmitted,144,Management frame,13
Frame is not being retransmitted,145,Data frame,8
Frame is not being retransmitted,146,Control frame,13
Frame is not being retransmitted,147,Control frame,8
Frame is not being retransmitted,148,Control frame,9
Frame is not being retransmitted,149,Data frame,8
Frame is not being retransmitted,150,Control frame,13
Frame is not being retransmitted,151,Data frame,0
Frame is not being retransmitted,152,Data frame,8
Frame is not being retransmitted,153,Control frame,13
Frame is not being retransmitted,154,Data frame,8
Frame is not being retransmitted,155,Management frame,8
Frame is not being retransmitted,156,Data frame,8
Frame is not being retransmitted,157,Control frame,13
Frame is not being retransmitted,158,Data frame,8
Frame is not being retransmitted,159,Data frame,8
Frame is not being retransmitted,160,Control frame,13
Frame is not being retransmitted,161,Data frame,8
Frame is not being retransmitted,162,Data frame,8
Frame is not being retransmitted,163,Control frame,13
Frame is not being retransmitted,164,Data frame,8
Frame is not being retransmitted,165,Data frame,0
Frame is not being retransmitted,166,Data frame,8
Frame is not being retransmitted,167,Control frame,13
Frame is not being retransmitted,168,Data frame,8
Frame is not being retransmitted,169,Data frame,8
Frame is not being retransmitted,170,Control frame,13
Frame is not being retransmitted,171,Data frame,8
Frame is not being retransmitted,172,Management frame,8
Frame is not being retransmitted,173,Data frame,8
Frame is not being retransmitted,174,Control frame,13
Frame is not being retransmitted,175,Data frame,8
Frame is not being retransmitted,176,Data frame,8
Frame is not being retransmitted,177,Data frame,8
Frame is not being retransmitted,178,Control frame,13
Frame is not being retransmitted,179,Data frame,8
Frame is not being retransmitted,180,Data frame,8
Frame is not being retransmitted,181,Control frame,13
Frame is not being retransmitted,182,Data frame,8
Frame is not being retransmitted,183,Control frame,13
Frame is not being retransmitted,184,Management frame,13
Frame is not being retransmitted,185,Control frame,5
Frame is not being retransmitted,186,Data frame,8
Frame is not being retransmitted,187,Management frame,13
Frame is not being retransmitted,188,Control frame,13
Frame is not being retransmitted,189,Control frame,8
Frame is not being retransmitted,190,Data frame,8
Frame is not being retransmitted,191,Control frame,13
Frame is not being retransmitted,192,Control frame,11
Frame is not being retransmitted,193,Data frame,8
Frame is not being retransmitted,194,Control frame,13
Frame is not being retransmitted,195,Control frame,11
Frame is not being retransmitted,196,Data frame,4
Frame is not being retransmitted,197,Control frame,13
Frame is not being retransmitted,198,Management frame,8
Frame is not being retransmitted,199,Data frame,0
Frame is not being retransmitted,200,Data frame,4
Frame is not being retransmitted,201,Control frame,13
Frame is not being retransmitted,202,Control frame,5
Frame is not being retransmitted,203,Control frame,11
Frame is not being retransmitted,204,Management frame,13
Frame is not being retransmitted,205,Control frame,13
Frame is not being retransmitted,206,Management frame,13
Frame is not being retransmitted,207,Control frame,8
Frame is not being retransmitted,208,Control frame,9
Frame is not being retransmitted,209,Control frame,11
Frame is not being retransmitted,210,Control frame,11
Frame is not being retransmitted,211,Control frame,12
Frame is not being retransmitted,212,Control frame,11
Frame is not being retransmitted,213,Control frame,12
Frame is not being retransmitted,214,Control frame,9
Frame is not being retransmitted,215,Control frame,11
Frame is not being retransmitted,216,Control frame,11
Frame is not being retransmitted,217,Control frame,11
Frame is not being retransmitted,218,Control frame,12
Frame is not being retransmitted,219,Control frame,11
Frame is not being retransmitted,220,Control frame,12
Frame is not being retransmitted,221,Control frame,9
Frame is not being retransmitted,222,Control frame,11
Frame is not being retransmitted,223,Data frame,0
Frame is not being retransmitted,224,Data frame,0
Frame is not being retransmitted,225,Management frame,8
Frame is not being retransmitted,226,Management frame,8
Frame is not being retransmitted,227,Data frame,0
Frame is not being retransmitted,228,Control frame,11
Frame is not being retransmitted,229,Control frame,11
Frame is not being retransmitted,230,Control frame,12
Frame is not being retransmitted,231,Control frame,9
Frame is not being retransmitted,232,Control frame,11
Frame is not being retransmitted,233,Control frame,11
Frame is not being retransmitted,234,Control frame,12
Frame is not being retransmitted,235,Control frame,9
Frame is not being retransmitted,236,Control frame,11
Frame is not being retransmitted,237,Control frame,11
Frame is not being retransmitted,238,Control frame,12
Frame is not being retransmitted,239,Control frame,9
Frame is not being retransmitted,240,Control frame,11
Frame is not being retransmitted,241,Control frame,12
Frame is not being retransmitted,242,Control frame,11
Frame is not being retransmitted,243,Control frame,11
Frame is not being retransmitted,244,Control frame,11
Frame is not being retransmitted,245,Control frame,12
Frame is not being retransmitted,246,Control frame,9
Frame is not being retransmitted,247,Control frame,11
Frame is not being retransmitted,248,Control frame,12
Frame is not being retransmitted,249,Control frame,11
Frame is not being retransmitted,250,Control frame,11
Frame is not being retransmitted,251,Control frame,12
Frame is not being retransmitted,252,Control frame,9
Frame is not being retransmitted,253,Control frame,11
Frame is not being retransmitted,254,Control frame,11
Frame is not being retransmitted,255,Control frame,12
Frame is not being retransmitted,256,Control frame,9
Frame is not being retransmitted,257,Control frame,11
Frame is not being retransmitted,258,Control frame,12
Frame is not being retransmitted,259,Control frame,9
Frame is not being retransmitted,260,Control frame,11
Frame is not being retransmitted,261,Control frame,11
Frame is not being retransmitted,262,Control frame,12
Frame is not being retransmitted,263,Data frame,8
Frame is not being retransmitted,264,Control frame,11
Frame is not being retransmitted,265,Control frame,12
Frame is not being retransmitted,266,Control frame,9
Frame is not being retransmitted,267,Management frame,8
Frame is not being retransmitted,268,Control frame,11
Frame is not being retransmitted,269,Control frame,12
Frame is not being retransmitted,270,Control frame,5
Frame is not being retransmitted,271,Control frame,11
Frame is not being retransmitted,272,Control frame,5
Frame is not being retransmitted,273,Control frame,11
Frame is not being retransmitted,274,Control frame,11
Frame is not being retransmitted,275,Control frame,12
Frame is not being retransmitted,276,Control frame,11
Frame is not being retransmitted,277,Control frame,12
Frame is not being retransmitted,278,Control frame,11
Frame is not being retransmitted,279,Control frame,11
Frame is not being retransmitted,280,Control frame,12
Frame is not being retransmitted,281,Control frame,9
Frame is not being retransmitted,282,Management frame,8
Frame is not being retransmitted,283,Control frame,11
Frame is not being retransmitted,284,Control frame,12
Frame is not being retransmitted,285,Control frame,5
Frame is not being retransmitted,286,Control frame,11
Frame is not being retransmitted,287,Control frame,9
Frame is not being retransmitted,288,Control frame,11
Frame is not being retransmitted,289,Control frame,12
Frame is not being retransmitted,290,Control frame,9
Frame is not being retransmitted,291,Data frame,0
Frame is not being retransmitted,292,Management frame,8
Frame is not being retransmitted,293,Management frame,8
Frame is not being retransmitted,294,Data frame,4
Frame is not being retransmitted,295,Control frame,13
Frame is not being retransmitted,296,Management frame,8
Frame is not being retransmitted,297,Control frame,5
Frame is not being retransmitted,298,Management frame,14
Frame is not being retransmitted,299,Control frame,11
Frame is not being retransmitted,300,Data frame,4
Frame is not being retransmitted,301,Control frame,13
Frame is not being retransmitted,302,Data frame,0
Frame is not being retransmitted,303,Data frame,0
Frame is not being retransmitted,304,Control frame,11
Frame is not being retransmitted,305,Control frame,12
Frame is not being retransmitted,306,Control frame,11
Frame is not being retransmitted,307,Control frame,12
Frame is not being retransmitted,308,Data frame,0
Frame is not being retransmitted,309,Control frame,11
Frame is not being retransmitted,310,Control frame,12
Frame is not being retransmitted,311,Control frame,9
Frame is not being retransmitted,312,Control frame,5
Frame is not being retransmitted,313,Control frame,11
Frame is not being retransmitted,314,Control frame,11
Frame is not being retransmitted,315,Control frame,12
Frame is not being retransmitted,316,Control frame,9
Frame is not being retransmitted,317,Management frame,8
Frame is not being retransmitted,318,Management frame,8
Frame is not being retransmitted,319,Data frame,4
Frame is not being retransmitted,320,Control frame,13
Frame is not being retransmitted,321,Management frame,8
Frame is not being retransmitted,322,Control frame,13
Frame is not being retransmitted,323,Data frame,0
Frame is not being retransmitted,324,Data frame,0
Frame is not being retransmitted,325,Data frame,0
Frame is not being retransmitted,326,Control frame,5
Frame is not being retransmitted,327,Control frame,11
Frame is not being retransmitted,328,Control frame,11
Frame is not being retransmitted,329,Control frame,11
Frame is not being retransmitted,330,Control frame,11
Frame is not being retransmitted,331,Control frame,9
Frame is not being retransmitted,332,Management frame,8
Frame is not being retransmitted,333,Data frame,4
Frame is not being retransmitted,334,Control frame,13
Frame is not being retransmitted,335,Management frame,8
Frame is not being retransmitted,336,Management frame,8
Frame is not being retransmitted,337,Management frame,8
Frame is not being retransmitted,338,Management frame,8
Frame is not being retransmitted,339,Management frame,8
Frame is not being retransmitted,340,Data frame,0
Frame is not being retransmitted,341,Data frame,0
Frame is not being retransmitted,342,Management frame,8
Frame is not being retransmitted,343,Control frame,13
Frame is not being retransmitted,344,Data frame,4
Frame is not being retransmitted,345,Control frame,13
Frame is not being retransmitted,346,Management frame,8
Frame is not being retransmitted,347,Management frame,8
Frame is not being retransmitted,348,Data frame,0
Frame is not being retransmitted,349,Management frame,8
Frame is not being retransmitted,350,Management frame,8
Frame is not being retransmitted,351,Management frame,8
Frame is not being retransmitted,352,Data frame,0
Frame is not being retransmitted,353,Data frame,0
Frame is not being retransmitted,354,Data frame,0
Frame is not being retransmitted,355,Management frame,8
Frame is not being retransmitted,356,Data frame,4
Frame is not being retransmitted,357,Control frame,13
Frame is not being retransmitted,358,Management frame,8
Frame is not being retransmitted,359,Data frame,4
Frame is not being retransmitted,360,Control frame,13
Frame is not being retransmitted,361,Management frame,8
Frame is not being retransmitted,362,Data frame,0
Frame is not being retransmitted,363,Management frame,8
Frame is not being retransmitted,364,Management frame,8
Frame is not being retransmitted,365,Data frame,4
Frame is not being retransmitted,366,Control frame,13
Frame is not being retransmitted,367,Control frame,5
Frame is not being retransmitted,368,Control frame,11
Frame is not being retransmitted,369,Data frame,4
Frame is not being retransmitted,370,Control frame,13
Frame is not being retransmitted,371,Management frame,8
Frame is not being retransmitted,372,Data frame,0
Frame is not being retransmitted,373,Data frame,0
Frame is not being retransmitted,374,Data frame,0
Frame is not being retransmitted,375,Management frame,8
Frame is not being retransmitted,376,Management frame,8
Frame is not being retransmitted,377,Management frame,8
Frame is not being retransmitted,378,Data frame,0
Frame is not being retransmitted,379,Data frame,0
Frame is not being retransmitted,380,Data frame,0
Frame is not being retransmitted,381,Management frame,8
Frame is not being retransmitted,382,Management frame,8
Frame is not being retransmitted,383,Management frame,8
Frame is not being retransmitted,384,Data frame,0
Frame is not being retransmitted,385,Data frame,4
Frame is not being retransmitted,386,Control frame,13
Frame is not being retransmitted,387,Control frame,12
Frame is not being retransmitted,388,Data frame,8
Frame is not being retransmitted,389,Control frame,9
Frame is not being retransmitted,390,Control frame,11
Frame is not being retransmitted,391,Data frame,0
Frame is not being retransmitted,392,Management frame,13
Frame is not being retransmitted,393,Control frame,13
Frame is not being retransmitted,394,Management frame,13
Frame is not being retransmitted,395,Control frame,8
Frame is not being retransmitted,396,Control frame,9
Frame is not being retransmitted,397,Data frame,0
Frame is not being retransmitted,398,Management frame,8
Frame is not being retransmitted,399,Data frame,4
Frame is not being retransmitted,400,Control frame,13
Frame is not being retransmitted,401,Management frame,8
Frame is not being retransmitted,402,Management frame,8
Frame is not being retransmitted,403,Data frame,0
Frame is not being retransmitted,404,Data frame,0
Frame is not being retransmitted,405,Management frame,8
Frame is not being retransmitted,406,Management frame,8
Frame is not being retransmitted,407,Management frame,8
Frame is not being retransmitted,408,Data frame,0
Frame is not being retransmitted,409,Data frame,4
Frame is not being retransmitted,410,Control frame,13
Frame is not being retransmitted,411,Data frame,0
Frame is not being retransmitted,412,Data frame,0
Frame is not being retransmitted,413,Data frame,4
Frame is not being retransmitted,414,Control frame,13
Frame is not being retransmitted,415,Management frame,8
Frame is not being retransmitted,416,Management frame,8
Frame is not being retransmitted,417,Data frame,4
Frame is not being retransmitted,418,Control frame,13
Frame is not being retransmitted,419,Management frame,8
Frame is not being retransmitted,420,Data frame,0
Frame is not being retransmitted,421,Data frame,0
Frame is not being retransmitted,422,Data frame,4
Frame is not being retransmitted,423,Control frame,13
Frame is not being retransmitted,424,Management frame,5
Frame is not being retransmitted,425,Management frame,8
Frame is not being retransmitted,426,Management frame,5
Frame is not being retransmitted,427,Management frame,5
Frame is not being retransmitted,428,Management frame,5
Frame is not being retransmitted,429,Management frame,8
Frame is not being retransmitted,430,Management frame,8
Frame is not being retransmitted,431,Data frame,0
Frame is not being retransmitted,432,Data frame,0
Frame is not being retransmitted,433,Management frame,13
Frame is being retransmitted,434,Management frame,13
Frame is being retransmitted,435,Management frame,13
Frame is being retransmitted,436,Management frame,13
Frame is being retransmitted,437,Management frame,13
Frame is being retransmitted,438,Management frame,13
Frame is being retransmitted,439,Management frame,13
Frame is not being retransmitted,440,Management frame,8
Frame is not being retransmitted,441,Management frame,8
Frame is not being retransmitted,442,Management frame,8
Frame is not being retransmitted,443,Data frame,0
Frame is not being retransmitted,444,Data frame,0
Frame is not being retransmitted,445,Management frame,4
Frame is not being retransmitted,446,Management frame,5
Frame is not being retransmitted,447,Management frame,8
Frame is not being retransmitted,448,Management frame,8
Frame is not being retransmitted,449,Management frame,8
Frame is not being retransmitted,450,Management frame,8
Frame is not being retransmitted,451,Management frame,8
Frame is not being retransmitted,452,Management frame,8
Frame is not being retransmitted,453,Data frame,0
Frame is not being retransmitted,454,Data frame,0
Frame is not being retransmitted,455,Management frame,8
Frame is not being retransmitted,456,Management frame,8
Frame is not being retransmitted,457,Management frame,8
Frame is not being retransmitted,458,Data frame,0
Frame is not being retransmitted,459,Data frame,0
Frame is not being retransmitted,460,Data frame,0
Frame is not being retransmitted,461,Data frame,0
Frame is not being retransmitted,462,Management frame,8
Frame is not being retransmitted,463,Management frame,8
Frame is not being retransmitted,464,Management frame,8
Frame is not being retransmitted,465,Management frame,8
Frame is not being retransmitted,466,Management frame,8
Frame is not being retransmitted,467,Management frame,8
Frame is not being retransmitted,468,Management frame,8
Frame is not being retransmitted,469,Management frame,8
Frame is not being retransmitted,470,Control frame,11
Frame is not being retransmitted,471,Control frame,12
Frame is not being retransmitted,472,Data frame,4
Frame is not being retransmitted,473,Control frame,13
Frame is not being retransmitted,474,Management frame,8
Frame is not being retransmitted,475,Data frame,0
Frame is not being retransmitted,476,Data frame,0
Frame is not being retransmitted,477,Data frame,0
Frame is not being retransmitted,478,Control frame,11
Frame is not being retransmitted,479,Control frame,12
Frame is not being retransmitted,480,Data frame,8
Frame is not being retransmitted,481,Control frame,9
Frame is not being retransmitted,482,Control frame,11
Frame is not being retransmitted,483,Control frame,12
Frame is not being retransmitted,484,Control frame,9
Frame is not being retransmitted,485,Data frame,0
Frame is not being retransmitted,486,Data frame,0
Frame is not being retransmitted,487,Management frame,8
Frame is not being retransmitted,488,Management frame,8
Frame is not being retransmitted,489,Data frame,4
Frame is not being retransmitted,490,Control frame,13
Frame is not being retransmitted,491,Management frame,8
Frame is not being retransmitted,492,Management frame,4
Frame is not being retransmitted,493,Control frame,13
Frame is not being retransmitted,494,Management frame,11
Frame is not being retransmitted,495,Control frame,13
Frame is not being retransmitted,496,Management frame,11
Frame is not being retransmitted,497,Management frame,0
Frame is not being retransmitted,498,Control frame,13
Frame is not being retransmitted,499,Management frame,1
Frame is not being retransmitted,500,Data frame,8
Frame is not being retransmitted,501,Data frame,8
Frame is not being retransmitted,502,Control frame,13
Frame is not being retransmitted,503,Data frame,8
Frame is not being retransmitted,504,Data frame,8
Frame is not being retransmitted,505,Control frame,13
Frame is not being retransmitted,506,Data frame,8
Frame is not being retransmitted,507,Data frame,8
Frame is not being retransmitted,508,Control frame,13
Frame is not being retransmitted,509,Data frame,8
Frame is not being retransmitted,510,Data frame,8
Frame is not being retransmitted,511,Control frame,13
Frame is not being retransmitted,512,Management frame,8
Frame is not being retransmitted,513,Data frame,8
Frame is not being retransmitted,514,Data frame,8
Frame is not being retransmitted,515,Control frame,13
Frame is not being retransmitted,516,Data frame,8
Frame is not being retransmitted,517,Data frame,8
Frame is not being retransmitted,518,Control frame,13
Frame is not being retransmitted,519,Data frame,8
Frame is not being retransmitted,520,Data frame,8
Frame is not being retransmitted,521,Control frame,13
Frame is not being retransmitted,522,Data frame,8
Frame is not being retransmitted,523,Data frame,8
Frame is not being retransmitted,524,Control frame,13
Frame is not being retransmitted,525,Data frame,8
Frame is not being retransmitted,526,Management frame,8
Frame is not being retransmitted,527,Data frame,8
Frame is not being retransmitted,528,Data frame,8
Frame is not being retransmitted,529,Control frame,13
Frame is not being retransmitted,530,Data frame,8
Frame is not being retransmitted,531,Data frame,8
Frame is not being retransmitted,532,Control frame,13
Frame is not being retransmitted,533,Management frame,8
Frame is not being retransmitted,534,Management frame,13
Frame is not being retransmitted,535,Control frame,13
Frame is not being retransmitted,536,Management frame,13
Frame is not being retransmitted,537,Data frame,8
Frame is not being retransmitted,538,Control frame,9
Frame is not being retransmitted,539,Data frame,8
Frame is not being retransmitted,540,Control frame,9
Frame is not being retransmitted,541,Data frame,8
Frame is not being retransmitted,542,Control frame,13
Frame is not being retransmitted,543,Management frame,13
Frame is not being retransmitted,544,Control frame,5
Frame is not being retransmitted,545,Data frame,8
Frame is not being retransmitted,546,Management frame,13
Frame is not being retransmitted,547,Control frame,13
Frame is not being retransmitted,548,Control frame,8
Frame is not being retransmitted,549,Data frame,8
Frame is not being retransmitted,550,Control frame,13
Frame is not being retransmitted,551,Control frame,11
Frame is not being retransmitted,552,Management frame,8
Frame is being retransmitted,553,Data frame,4
Frame is not being retransmitted,554,Control frame,13
Frame is not being retransmitted,555,Management frame,14
Frame is not being retransmitted,556,Control frame,11
Frame is not being retransmitted,557,Control frame,9
Frame is not being retransmitted,558,Control frame,11
Frame is not being retransmitted,559,Control frame,12
Frame is not being retransmitted,560,Control frame,9
Frame is not being retransmitted,561,Management frame,8
Frame is not being retransmitted,562,Data frame,12
Frame is not being retransmitted,563,Control frame,13
Frame is not being retransmitted,564,Data frame,12
Frame is not being retransmitted,565,Control frame,13
Frame is not being retransmitted,566,Data frame,8
Frame is being retransmitted,567,Data frame,8
Frame is not being retransmitted,568,Control frame,13
Frame is not being retransmitted,569,Control frame,11
Frame is not being retransmitted,570,Control frame,11
Frame is not being retransmitted,571,Control frame,12
Frame is not being retransmitted,572,Data frame,8
Frame is not being retransmitted,573,Data frame,8
Frame is not being retransmitted,574,Data frame,8
Frame is not being retransmitted,575,Data frame,8
Frame is not being retransmitted,576,Data frame,8
Frame is not being retransmitted,577,Data frame,8
Frame is not being retransmitted,578,Control frame,9
Frame is not being retransmitted,579,Data frame,4
Frame is not being retransmitted,580,Control frame,13
Frame is not being retransmitted,581,Data frame,8
Frame is not being retransmitted,582,Control frame,13
Frame is not being retransmitted,583,Control frame,11
Frame is not being retransmitted,584,Data frame,8
Frame is not being retransmitted,585,Data frame,8
Frame is not being retransmitted,586,Control frame,9
Frame is not being retransmitted,587,Control frame,5
Frame is not being retransmitted,588,Control frame,11
Frame is not being retransmitted,589,Control frame,11
Frame is not being retransmitted,590,Control frame,11
Frame is not being retransmitted,591,Control frame,11
Frame is not being retransmitted,592,Control frame,9
Frame is not being retransmitted,593,Control frame,11
Frame is not being retransmitted,594,Control frame,11
Frame is not being retransmitted,595,Control frame,5
Frame is not being retransmitted,596,Control frame,11
Frame is not being retransmitted,597,Control frame,11
Frame is not being retransmitted,598,Control frame,9
Frame is not being retransmitted,599,Control frame,11
Frame is not being retransmitted,600,Control frame,5
Frame is not being retransmitted,601,Control frame,11
Frame is not being retransmitted,602,Management frame,8
Frame is not being retransmitted,603,Data frame,0
Frame is not being retransmitted,604,Data frame,0
Frame is not being retransmitted,605,Data frame,0
Frame is not being retransmitted,606,Data frame,0
Frame is not being retransmitted,607,Data frame,0
Frame is not being retransmitted,608,Control frame,5
Frame is not being retransmitted,609,Control frame,11
Frame is not being retransmitted,610,Control frame,11
Frame is not being retransmitted,611,Control frame,11
Frame is not being retransmitted,612,Control frame,9
Frame is not being retransmitted,613,Control frame,11
Frame is not being retransmitted,614,Control frame,11
Frame is not being retransmitted,615,Management frame,8
Frame is not being retransmitted,616,Control frame,5
Frame is not being retransmitted,617,Control frame,11
Frame is not being retransmitted,618,Control frame,5
Frame is not being retransmitted,619,Control frame,11
Frame is not being retransmitted,620,Control frame,11
Frame is not being retransmitted,621,Control frame,11
Frame is not being retransmitted,622,Control frame,11
Frame is not being retransmitted,623,Control frame,11
Frame is not being retransmitted,624,Control frame,11
Frame is not being retransmitted,625,Control frame,5
Frame is not being retransmitted,626,Control frame,11
Frame is not being retransmitted,627,Control frame,11
Frame is not being retransmitted,628,Control frame,11
Frame is not being retransmitted,629,Control frame,11
Frame is not being retransmitted,630,Management frame,8
Frame is not being retransmitted,631,Data frame,0
Frame is not being retransmitted,632,Data frame,0
Frame is not being retransmitted,633,Data frame,0
Frame is not being retransmitted,634,Data frame,0
Frame is not being retransmitted,635,Data frame,0
Frame is not being retransmitted,636,Data frame,0
Frame is not being retransmitted,637,Data frame,8
Frame is not being retransmitted,638,Control frame,13
Frame is not being retransmitted,639,Control frame,5
Frame is not being retransmitted,640,Control frame,11
Frame is not being retransmitted,641,Control frame,9
Frame is not being retransmitted,642,Control frame,11
Frame is not being retransmitted,643,Control frame,9
Frame is not being retransmitted,644,Control frame,11
Frame is not being retransmitted,645,Control frame,11
Frame is not being retransmitted,646,Management frame,8
Frame is not being retransmitted,647,Control frame,5
Frame is not being retransmitted,648,Control frame,11
Frame is not being retransmitted,649,Data frame,12
Frame is not being retransmitted,650,Control frame,13
Frame is not being retransmitted,651,Management frame,8
Frame is not being retransmitted,652,Data frame,12
Frame is not being retransmitted,653,Control frame,13
Frame is not being retransmitted,654,Control frame,5
Frame is not being retransmitted,655,Control frame,11
Frame is not being retransmitted,656,Control frame,11
Frame is not being retransmitted,657,Control frame,11
Frame is not being retransmitted,658,Data frame,12
Frame is not being retransmitted,659,Control frame,13
Frame is not being retransmitted,660,Management frame,8
Frame is not being retransmitted,661,Data frame,0
Frame is not being retransmitted,662,Data frame,0
Frame is not being retransmitted,663,Data frame,0
Frame is not being retransmitted,664,Data frame,0
Frame is not being retransmitted,665,Data frame,12
